did,tsne_x,tsne_y
tensor(94),36.101463,-10.025183
tensor(10),-36.32031,-29.844643
tensor(87),25.835714,22.921953
tensor(90),20.012108,18.960934
tensor(64),-45.17636,7.8495426
tensor(0),-41.433933,-29.448418
tensor(23),-32.847122,41.52479
tensor(6),-12.553695,-18.53749
tensor(94),11.25238,-14.552489
tensor(87),26.841656,23.219751
tensor(23),-20.322807,-11.332704
tensor(83),0.2869144,-20.73249
tensor(97),-0.14403664,23.260815
tensor(11),-20.698513,-8.051231
tensor(95),-16.248932,-60.066677
tensor(90),21.632132,24.430666
tensor(12),-45.002754,0.80380374
tensor(15),8.382528,-34.80128
tensor(2),-64.25478,-12.965903
tensor(83),-11.891159,-22.37078
tensor(66),13.668766,23.328587
tensor(17),-44.51291,-12.376111
tensor(91),5.21848,-61.557137
tensor(5),20.13956,-18.065348
tensor(17),-53.36912,-2.2467449
tensor(75),-34.11656,19.849262
tensor(75),-40.705463,19.20824
tensor(71),46.3202,-24.056889
tensor(37),60.687435,26.058846
tensor(95),-12.870352,-64.31701
tensor(9),68.375786,-2.9055386
tensor(65),-46.967346,35.03954
tensor(11),-26.37656,7.041862
tensor(0),-41.475727,-29.459143
tensor(7),-15.719272,21.127144
tensor(23),-35.421463,34.818447
tensor(73),-11.471631,48.047527
tensor(11),-26.206303,6.471341
tensor(71),47.740074,-19.691853
tensor(37),62.253353,16.255493
tensor(96),-40.961628,-15.934078
tensor(75),-37.10083,21.024757
tensor(9),68.80415,-5.396473
tensor(96),-63.592377,-7.372636
tensor(65),-28.666464,-0.81161505
tensor(94),36.35007,-9.79493
tensor(0),-57.98058,-23.275927
tensor(4),-22.653143,32.552303
tensor(7),-19.499168,50.64651
tensor(90),4.240796,5.181016
tensor(96),-56.197926,-17.089884
tensor(15),-6.5774446,-42.524323
tensor(37),61.087727,14.292767
tensor(23),-33.11861,41.12926
tensor(3),-36.62254,-29.592018
tensor(17),-53.45418,10.294739
tensor(6),37.72525,11.10374
tensor(75),-34.011696,19.756113
tensor(23),-23.069336,2.5916984
tensor(7),-45.36856,-37.847607
tensor(37),60.50618,26.195654
tensor(87),11.89811,8.373671
tensor(3),1.2296857,-38.226917
tensor(19),12.415005,54.774193
tensor(83),-12.522624,-21.11769
tensor(3),2.119762,-37.739143
tensor(65),-42.139755,27.703278
tensor(62),29.080013,50.544605
tensor(75),-32.21036,17.925816
tensor(7),-16.3776,47.574512
tensor(96),-53.985825,-17.576357
tensor(72),0.2867176,44.83206
tensor(19),27.107433,49.60535
tensor(3),-7.0182867,-41.853416
tensor(66),18.70071,34.94429
tensor(87),19.310535,17.491114
tensor(2),-36.69274,-30.574429
tensor(71),44.145184,-25.60854
tensor(6),-5.190858,-16.844173
tensor(67),57.791973,-26.36835
tensor(87),16.835478,12.031012
tensor(4),-21.0213,20.886362
tensor(67),45.607796,-26.492704
tensor(14),33.10523,-53.710754
tensor(91),10.346225,-56.75941
tensor(11),-20.133615,-3.619856
tensor(11),-35.00192,-16.947691
tensor(95),-13.725726,-63.36902
tensor(67),-35.204433,-26.861229
tensor(4),-20.498486,28.090824
tensor(11),-23.59852,3.4497733
tensor(62),16.457323,6.316548
tensor(66),6.996348,15.680133
tensor(9),70.207756,2.0137122
tensor(72),-1.7606586,34.498547
tensor(83),20.44578,-9.042224
tensor(11),-40.100204,35.50433
tensor(64),-42.159103,5.5349526
tensor(15),5.255347,-37.001637
tensor(72),-2.9828687,31.967165
tensor(4),-21.229427,19.71829
tensor(17),-52.205643,-4.0032387
tensor(15),-7.4154735,-42.92706
tensor(91),8.759601,-58.1135
tensor(19),20.41692,53.787663
tensor(95),-11.110322,-66.12735
tensor(67),50.902878,-25.16079
tensor(93),45.15345,-46.312748
tensor(66),7.0888534,15.696589
tensor(7),-17.71578,49.345055
tensor(23),-37.008648,27.112816
tensor(97),0.67330575,24.936775
tensor(7),-15.836597,20.021631
