开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0097] beta=0.001 gamma=0.001 | Train total=0.0044 | Val total=0.0024 | Val ctr_nll=-0.7033 | Val ctr_mse=0.052504 | Val conf=0.400
[Epoch 0098] beta=0.001 gamma=0.001 | Train total=0.0043 | Val total=0.0031 | Val ctr_nll=-0.4731 | Val ctr_mse=0.055148 | Val conf=0.433
[Epoch 0099] beta=0.001 gamma=0.001 | Train total=0.0040 | Val total=0.0027 | Val ctr_nll=-0.6322 | Val ctr_mse=0.052636 | Val conf=0.453
[Epoch 0100] beta=0.001 gamma=0.001 | Train total=0.0042 | Val total=0.0018 | Val ctr_nll=-1.5054 | Val ctr_mse=0.050396 | Val conf=0.449
[Epoch 0101] beta=0.001 gamma=0.001 | Train total=0.0037 | Val total=0.0034 | Val ctr_nll=-0.2863 | Val ctr_mse=0.053287 | Val conf=0.459
[Epoch 0102] beta=0.001 gamma=0.001 | Train total=0.0039 | Val total=0.0019 | Val ctr_nll=-1.3720 | Val ctr_mse=0.050962 | Val conf=0.426
[Epoch 0103] beta=0.001 gamma=0.001 | Train total=0.0036 | Val total=0.0012 | Val ctr_nll=-1.9261 | Val ctr_mse=0.048068 | Val conf=0.410
[Epoch 0104] beta=0.001 gamma=0.001 | Train total=0.0035 | Val total=0.0018 | Val ctr_nll=-1.4564 | Val ctr_mse=0.052073 | Val conf=0.458
[Epoch 0105] beta=0.001 gamma=0.001 | Train total=0.0037 | Val total=0.0013 | Val ctr_nll=-1.7702 | Val ctr_mse=0.049071 | Val conf=0.438
[Epoch 0106] beta=0.001 gamma=0.001 | Train total=0.0035 | Val total=0.0016 | Val ctr_nll=-1.6304 | Val ctr_mse=0.050491 | Val conf=0.436
[Epoch 0107] beta=0.001 gamma=0.001 | Train total=0.0033 | Val total=0.0019 | Val ctr_nll=-1.3179 | Val ctr_mse=0.051300 | Val conf=0.424
[Epoch 0108] beta=0.001 gamma=0.001 | Train total=0.0035 | Val total=0.0013 | Val ctr_nll=-1.9341 | Val ctr_mse=0.048242 | Val conf=0.440
[Epoch 0109] beta=0.001 gamma=0.001 | Train total=0.0031 | Val total=0.0002 | Val ctr_nll=-2.9872 | Val ctr_mse=0.045508 | Val conf=0.430
[Epoch 0110] beta=0.001 gamma=0.001 | Train total=0.0027 | Val total=0.0008 | Val ctr_nll=-2.4860 | Val ctr_mse=0.047609 | Val conf=0.472
[Epoch 0111] beta=0.001 gamma=0.001 | Train total=0.0031 | Val total=0.0004 | Val ctr_nll=-2.8712 | Val ctr_mse=0.045176 | Val conf=0.445
[Epoch 0112] beta=0.001 gamma=0.001 | Train total=0.0028 | Val total=0.0007 | Val ctr_nll=-2.5013 | Val ctr_mse=0.046629 | Val conf=0.448
[Epoch 0113] beta=0.001 gamma=0.001 | Train total=0.0029 | Val total=0.0013 | Val ctr_nll=-2.2251 | Val ctr_mse=0.047239 | Val conf=0.498
[Epoch 0114] beta=0.001 gamma=0.001 | Train total=0.0030 | Val total=0.0017 | Val ctr_nll=-1.7544 | Val ctr_mse=0.049621 | Val conf=0.430
[Epoch 0115] beta=0.001 gamma=0.001 | Train total=0.0027 | Val total=0.0010 | Val ctr_nll=-2.3770 | Val ctr_mse=0.047107 | Val conf=0.459
[Epoch 0116] beta=0.001 gamma=0.001 | Train total=0.0025 | Val total=-0.0001 | Val ctr_nll=-3.5759 | Val ctr_mse=0.044020 | Val conf=0.471
[Epoch 0117] beta=0.001 gamma=0.001 | Train total=0.0022 | Val total=-0.0003 | Val ctr_nll=-3.5882 | Val ctr_mse=0.043042 | Val conf=0.445
